dataset,method,test_acc,bad_edge_f1
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
Cora,Original+Noise,78.52 ± 0.87,nan
Cora,GraCA-lite+Noise,77.41 ± 0.93,0.004
Cora,Random+Noise,77.41 ± 1.16,0.002
